insee_com,siren_epci,usage_2021,surfaces_ha
01074,200069193,F_p,7.25
01074,200069193,H_a,579.75
01074,200069193,P_a,3.75
01074,200069193,P_h,221.50
01074,200069193,P_m,2.00
01075,200070118,A_a,6.59193850
01075,200070118,A_h,61.02868800
01075,200070118,A_i,61.87937350
01075,200070118,C,1465.75
01075,200070118,C_t,48.00
01075,200070118,F_f,25.25
01075,200070118,F_m,0.50
01075,200070118,F_p,1.00
01075,200070118,H_a,1.50
01075,200070118,P_h,40.50
01076,240100883,A_a,0.43548300
01076,240100883,A_h,5.37096150
01076,240100883,A_i,7.69354200
01076,240100883,C,7.50
01076,240100883,C_t,5.00
01076,240100883,F_c,2.00
01076,240100883,F_f,416.75
01076,240100883,F_m,5.25
01076,240100883,H_a,5.50
01076,240100883,P_a,3.00
01076,240100883,P_h,4.50
01076,240100883,P_m,1.50
01077,200029999,A_a,3.08889275
01077,200029999,A_h,13.90000000
01077,200029999,A_i,17.76110725
01077,200029999,C,99.00
01077,200029999,C_t,70.00
01077,200029999,F_c,98.75
01077,200029999,F_f,175.00
01077,200029999,F_m,92.25
01077,200029999,P_a,3.75
01077,200029999,P_h,190.50
01077,200029999,P_m,13.75
01078,240100750,A_a,5.61076750
01078,240100750,A_h,50.49700825
01078,240100750,A_i,44.64222425
01078,240100750,C,351.00
01078,240100750,C_t,84.25
01078,240100750,C_ve,0.0000000000000000000000
01078,240100750,C_vi,39.7500000000000000000000
01078,240100750,F_f,220.50
01078,240100750,F_m,11.50
01078,240100750,H_a,21.00
01078,240100750,P_a,1.75
01078,240100750,P_h,41.75
01079,200040350,A_a,4.79896200
01079,200040350,A_h,42.43302000
01079,200040350,A_i,50.76801800
01079,200040350,C,401.25
01079,200040350,C_t,490.25
