code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200066785,,,CC de l'Oust à Brocéliande Communauté,CC,26,40207
200066793,,,CA du Grand Annecy,CA,34,205214
200066801,,,CC Isigny-Omaha Intercom,CC,59,27423
200066819,,,CC du Volvestre,CC,32,30237
200066827,,,CC du Pays de Honfleur-Beuzeville,CC,27,29642
200066835,,,CC de Sézanne-Sud Ouest Marnais,CC,62,22347
200066850,,,CC des Paysages de la Champagne,CC,54,22185
200066868,,,CC Presqu'île de Crozon-Aulne Maritime,CC,10,23994
200066876,,,CA de Châlons-en-Champagne,CA,46,82958
200066884,,,CC Quercy Vert-Aveyron,CC,13,22219
200066892,,,CC de Vendeuvre-Soulaines,CC,38,8055
200066918,,,CA Alès Agglomération,CA,73,131559
200066926,,,CA Grand Auch Coeur de Gascogne,CA,34,40479
200066975,,,CC Senlis Sud Oise,CC,18,25322
200067023,,,CC Coutances Mer et Bocage,CC,64,50511
200067031,,,CC Côte Ouest Centre Manche,CC,31,22958
200067049,,,CC Spelunca-Liamone,CC,33,7715
200067064,,,CC Decazeville Communauté,CC,12,19865
200067072,,,CC Haut-Léon Communauté,CC,14,32461
200067080,,,"CC Chablis, Villages et Terroirs",CC,36,15676
200067106,,,CA du Pays Basque,CA,158,312178
200067114,,,CA de l'Auxerrois,CA,29,71268
200067122,,,CC Coteaux et Plaines du Pays Lafrançaisain,CC,11,11264
200067130,,,CC de Puisaye-Forterre,CC,58,36382
200067155,,,"CC Saint Affricain, Roquefort, Sept Vallons",CC,14,14692
200067163,,,"CC Monts, Rance et Rougier",CC,23,6635
200067171,,,"CC Aubrac, Carladez et Viadène",CC,21,10539
200067189,,,CC Creuse Sud Ouest,CC,44,14659
200067197,,,CC Monts d'Arrée Communauté,CC,13,8552
200067205,,,CA du Cotentin,CA,132,186896
200067213,,,CU du Grand Reims,CU,143,300690
200067221,,,CC Centre Morbihan Communauté,CC,19,43643
200067239,,,CC des Luys en Béarn,CC,66,28763
200067247,,,CC Pleyben-Châteaulin-Porzay,CC,17,24487
200067254,,,CA Pau Béarn Pyrénées,CA,31,166360
200067262,,,CC du Haut-Béarn,CC,48,33690
200067288,,,CC du Béarn des Gaves,CC,53,18465
200067296,,,CC du Nord Est Béarn,CC,73,34661
200067304,,,CC Serein et Armance,CC,29,25090
200067320,,,CC Serre-Ponçon Val d'Avance,CC,16,7618
200067346,,,CA Pornic Agglo Pays de Retz,CA,14,56858
200067361,,,CC Grand-Figeac,CC,92,45065
200067379,,,CC Côtes de Champagne et Val de Saulx,CC,40,12360
200067429,,,CC Haut Nivernais-Val d'Yonne,CC,30,13508
200067437,,,CA Provence-Alpes-Agglomération,CA,46,48916
200067445,,,CC Buëch-Dévoluy,CC,20,9598
200067452,,,CC du Guillestrois et du Queyras,CC,16,8168
200067460,,,CC Loudéac Communauté - Bretagne Centre,CC,42,53139
200067478,,,CC Comtal Lot et Truyère,CC,21,19716
200067486,,,CC Bouzonvillois-Trois Frontières,CC,43,25632
200067502,,,CA Saint-Avold Synergie,CA,41,55095
200067510,,,CC Monts et Vallées Ouest Creuse,CC,43,26013
200067544,,,CC Creuse Confluence,CC,42,17416
200067551,,,CA Thonon Agglomération,CA,25,88203
200067593,,,"CC Chénérailles, Auzances/Bellegarde et Haut Pays Marchois",CC,50,14193
200067627,,,CC Billom Communauté,CC,26,26100
200067635,,,CA Clisson Sèvre et Maine Agglo,CA,16,54924
200067643,,,"CC Meurthe, Mortagne, Moselle",CC,37,17030
200067650,,,CC Houve-Pays Boulageois,CC,37,23631
200067668,,,"CC de la Cléry, du Betz et de l'Ouanne",CC,24,21257
200067676,,,CC Canaux et Forêts en Gâtinais,CC,38,28806
200067684,,,"CA Épernay, Coteaux et Plaine de Champagne",CA,47,49897
200067692,,,CC Tannay-Brinon-Corbigny,CC,58,10386
200067700,,,CC Sud Nivernais,CC,20,22274
200067742,,,CC Serre-Ponçon,CC,17,16599
200067759,,,CC Vallées et Plateau d'Ardenne,CC,31,26069
